SYMBOL,ENTREZID,AUC
Apol7c,108956,0.5570987654320987
Cenpi,102920,0.6064814814814815
Cox6a2,12862,0.5277777777777778
Cxcr6,80901,0.5277777777777778
Dancr,70036,0.5277777777777778
Fndc5,384061,0.5308641975308643
Grik4,110637,0.5601851851851852
Hspb7,29818,0.5802469135802469
Lrat,79235,0.5895061728395062
Lrch2,210297,0.5771604938271605
Myoz2,59006,0.5601851851851851
Neil3,234258,0.5277777777777778
Shcbp1l,71836,0.5277777777777778
Slc17a7,72961,0.5277777777777778
Slc47a1,67473,0.6342592592592594
St6galnac5,26938,0.5570987654320987
Suv39h2,64707,0.5277777777777778
Tnni3,21954,0.5570987654320988
Tnni3k,435766,0.6080246913580247
