GeneID,GSM8245471,GSM8245473,GSM8245474,GSM8245475,GSM8245476,GSM8245477,GSM8245478
100287102,8,2,2,5,2,7,8
653635,142,72,48,241,146,351,515
102466751,6,5,2,25,5,18,24
107985730,0,0,0,0,0,1,0
100302278,0,0,0,0,0,1,0
645520,0,0,0,0,0,1,2
79501,0,0,0,1,0,0,2
100996442,31,34,28,80,72,64,79
729737,107,54,35,97,288,129,367
102725121,11,3,1,7,5,11,7
102723897,152,67,66,323,190,423,430
102465909,5,1,1,12,5,15,16
107985721,2,0,1,0,0,10,2
112268260,16,7,28,24,24,24,20
729759,2,1,3,3,3,2,4
100132287,64,36,31,105,109,133,170
105378947,2,2,2,8,2,3,3
101928626,1,0,2,2,2,3,2
113219467,578,1261,747,3264,1186,899,2248
81399,17,7,30,27,24,24,18
100133331,62,32,34,116,101,147,211
107984841,38,19,23,62,58,73,99
107984847,37,17,16,53,34,61,64
107984849,8,3,6,9,21,16,31
100288069,52,35,43,98,79,95,87
105378580,101,27,94,105,60,71,67
400728,30,10,19,34,16,29,33
79854,25,6,11,36,25,39,41
643837,148,31,133,375,372,141,227
107984850,0,0,0,3,0,3,0
284593,2,1,1,3,2,1,3
284600,1,1,5,10,6,13,2
100130417,11,0,16,17,13,6,8
107985728,17,1,11,24,13,17,9
148398,99,18,51,164,112,111,61
26155,330,173,166,886,570,833,621
339451,49,23,25,96,73,154,142
84069,28,26,10,101,52,201,185
84808,11,7,2,13,17,25,30
57801,39,4,18,102,50,87,59
9636,52,17,110,141,103,308,153
375790,646,475,505,2700,969,3665,7502
100288175,5,4,1,12,5,20,35
112267874,3,4,0,22,2,16,11
105378948,9,13,2,27,5,46,45
401934,2,7,0,32,0,28,9
54991,49,38,24,137,85,217,154
254099,1,28,0,4,4,19,10
406984,0,6,0,30,0,27,3
406983,2,6,2,15,0,19,0
554210,1,6,0,43,0,31,2
100506376,6,3,0,50,0,65,0
254173,9,11,1,62,3,81,2
8784,41,0,7,11,39,7,18
7293,46,0,22,43,54,20,86
51150,663,264,464,1249,1151,957,1624
126792,57,59,66,190,130,115,150
388581,9,4,3,15,16,23,27
118424,228,92,159,396,307,354,420
101928895,24,4,13,28,22,14,52
6339,42,1,19,59,58,32,99
116983,401,225,172,640,759,731,837
102465434,0,0,0,1,1,1,1
109623456,5,3,2,6,10,8,7
126789,46,28,43,142,69,89,85
54973,389,161,229,725,594,871,857
102465435,1,0,1,6,2,3,1
80772,59,48,34,193,93,172,113
83756,65,14,10,72,106,63,50
1855,227,148,139,751,386,855,764
102466740,1,0,1,1,2,2,1
54587,618,106,1073,1039,1616,605,3068
54998,154,109,89,361,191,261,236
81669,1377,467,1033,2909,1960,4178,3570
148413,98,58,50,217,90,187,125
55052,204,94,131,365,250,247,217
107984868,0,0,4,3,4,7,6
441869,11,6,31,19,9,15,28
105378585,0,0,3,0,0,6,3
643965,0,0,0,0,0,0,1
102724312,7,0,1,34,2,6,3
107985729,6,1,1,40,3,8,10
64856,113,46,77,979,146,342,280
219293,23,7,11,78,30,51,48
83858,251,153,150,729,554,749,705
55210,92,157,73,351,284,463,339
339453,2,6,7,5,16,5,13
29101,242,139,187,501,339,425,336
643988,11,23,31,31,69,60,63
105378586,3,0,4,8,3,2,4
142678,275,131,150,587,638,658,630
8510,61,25,94,58,263,35,116
984,416,150,176,563,478,753,707
728661,658,187,412,1418,680,1246,655
8511,32,16,68,32,178,14,76
728642,379,95,142,569,466,834,690
9906,359,118,232,650,302,682,499
112268218,36,12,18,75,41,66,37
65220,414,208,183,947,567,847,530
2782,1637,579,1757,3034,2689,2408,3178
105378949,4,0,1,11,4,10,5
163688,4,1,0,28,2,2,9
339456,4,7,0,60,3,3,3
85452,3,6,1,27,2,7,4
107984872,1,7,0,1,1,4,1
105378589,0,8,0,2,0,10,5
2563,6,4,0,6,18,9,32
105378590,0,1,0,2,0,1,0
105378591,0,0,0,0,0,3,0
5590,83,111,33,214,54,354,213
100506504,10,20,4,20,10,36,36
199990,112,39,62,236,212,265,250
112268219,31,8,11,87,60,67,99
105378593,6,2,3,11,4,9,15
6497,1554,283,1002,1697,2415,1585,2762
79906,50,46,27,124,55,105,114
100129534,7,4,6,17,9,11,5
11079,394,214,371,845,507,833,653
5192,73,58,65,242,109,202,176
9651,117,49,37,161,83,264,36
55229,149,59,92,350,268,272,323
388585,0,0,0,3,0,2,0
115110,121,196,30,191,89,345,138
8764,428,176,149,712,398,900,766
100996583,8,0,4,16,2,17,10
127281,64,123,24,297,46,467,141
79258,12,48,8,36,5,81,23
105378597,2,0,0,4,2,4,2
100287898,16,9,3,26,6,33,27
105378603,0,0,0,0,0,0,0
105378602,0,0,0,0,0,0,0
105378601,0,0,0,0,0,0,0
112268220,0,0,0,0,0,0,0
107985732,0,1,0,0,0,1,0
105378600,0,0,0,0,0,0,1
105378598,1,1,0,0,2,2,1
107984904,0,1,0,0,0,0,0
105378599,0,0,0,0,0,1,0
140625,0,0,0,0,0,1,0
440556,3,11,2,5,1,7,1
63976,7,47,0,22,7,43,34
100422968,0,0,0,0,0,0,1
105378606,3,5,1,10,5,4,15
107984909,1,10,1,4,0,6,8
105378605,2,6,4,1,1,4,2
105378604,7,42,5,33,6,204,56
27237,84,152,23,480,7,827,253
1953,573,179,440,1126,502,2817,1163
105378608,7,0,5,3,1,18,8
693135,1,0,0,0,0,0,2
105378607,2,0,0,2,0,0,1
127262,279,166,212,551,250,563,324
49856,90,39,71,159,62,169,106
7161,21,1,5,22,22,14,7
105378610,2,0,2,3,8,4,0
105378609,0,0,0,1,2,3,0
57212,238,22,127,244,259,111,404
148870,0,1,2,1,0,2,2
388588,3,0,3,9,5,1,18
57470,241,108,177,551,343,442,454
9731,293,131,174,638,306,603,401
1677,61,26,39,122,67,180,37
107984910,2,6,4,3,1,6,7
339448,121,74,80,221,111,215,214
100133612,2,2,1,7,0,23,1
