Symbol,GSM8245471,GSM8245473,GSM8245474,GSM8245475,GSM8245476,GSM8245477,GSM8245478
DDX11L1,8,2,2,5,2,7,8
WASH7P,142,72,48,241,146,351,515
MIR6859-1,6,5,2,25,5,18,24
MIR1302-2HG,0,0,0,0,0,1,0
MIR1302-2,0,0,0,0,0,1,0
FAM138A,0,0,0,0,0,1,2
OR4F5,0,0,0,1,0,0,2
LOC100996442,31,34,28,80,72,64,79
LOC729737,107,54,35,97,288,129,367
DDX11L17,11,3,1,7,5,11,7
WASH9P,152,67,66,323,190,423,430
MIR6859-2,5,1,1,12,5,15,16
LOC107985721,2,0,1,0,0,10,2
LOC112268260,16,7,28,24,24,24,20
OR4F29,2,1,3,3,3,2,4
LOC100132287,64,36,31,105,109,133,170
LOC105378947,2,2,2,8,2,3,3
LOC101928626,1,0,2,2,2,3,2
MIR12136,578,1261,747,3264,1186,899,2248
OR4F16,17,7,30,27,24,24,18
LOC100133331,62,32,34,116,101,147,211
LOC107984841,38,19,23,62,58,73,99
LOC107984847,37,17,16,53,34,61,64
LOC107984849,8,3,6,9,21,16,31
LOC100288069,52,35,43,98,79,95,87
LINC01409,101,27,94,105,60,71,67
FAM87B,30,10,19,34,16,29,33
LINC00115,25,6,11,36,25,39,41
LINC01128,148,31,133,375,372,141,227
LOC107984850,0,0,0,3,0,3,0
FAM41C,2,1,1,3,2,1,3
LOC284600,1,1,5,10,6,13,2
LINC02593,11,0,16,17,13,6,8
LOC107985728,17,1,11,24,13,17,9
SAMD11,99,18,51,164,112,111,61
NOC2L,330,173,166,886,570,833,621
KLHL17,49,23,25,96,73,154,142
PLEKHN1,28,26,10,101,52,201,185
PERM1,11,7,2,13,17,25,30
HES4,39,4,18,102,50,87,59
ISG15,52,17,110,141,103,308,153
AGRN,646,475,505,2700,969,3665,7502
LOC100288175,5,4,1,12,5,20,35
LOC112267874,3,4,0,22,2,16,11
LOC105378948,9,13,2,27,5,46,45
RNF223,2,7,0,32,0,28,9
C1orf159,49,38,24,137,85,217,154
LINC01342,1,28,0,4,4,19,10
MIR200B,0,6,0,30,0,27,3
MIR200A,2,6,2,15,0,19,0
MIR429,1,6,0,43,0,31,2
TTLL10-AS1,6,3,0,50,0,65,0
TTLL10,9,11,1,62,3,81,2
TNFRSF18,41,0,7,11,39,7,18
TNFRSF4,46,0,22,43,54,20,86
SDF4,663,264,464,1249,1151,957,1624
B3GALT6,57,59,66,190,130,115,150
C1QTNF12,9,4,3,15,16,23,27
UBE2J2,228,92,159,396,307,354,420
LINC01786,24,4,13,28,22,14,52
SCNN1D,42,1,19,59,58,32,99
