ENTREZID,SYMBOL
11287,Pzp
11298,Aanat
11302,Aatk
11303,Abca1
11304,Abca4
11305,Abca2
11306,Abcb7
11307,Abcg1
11308,Abi1
11350,Abl1
11352,Abl2
11354,Scgb1b27
11358,ac
11363,Acadl
11364,Acadm
11370,Acadvl
11409,Acads
11416,Slc33a1
11418,Asic2
11419,Asic1
11421,Ace
11423,Ache
11425,Apoc4
11426,Macf1
11428,Aco1
11429,Aco2
11430,Acox1
11431,Acp1
11432,Acp2
11433,Acp5
11434,Acr
11435,Chrna1
11438,Chrna4
11440,Chrna6
11441,Chrna7
11443,Chrnb1
11444,Chrnb2
11447,Chrnd
11448,Chrne
11449,Chrng
11450,Adipoq
11451,Acrv1
11452,act
11459,Acta1
11461,Actb
11464,Actc1
11465,Actg1
11468,Actg2
11470,Actl7a
11471,Actl7b
11472,Actn2
11474,Actn3
11475,Acta2
11477,Acvr1
11479,Acvr1b
11480,Acvr2a
11481,Acvr2b
11482,Acvrl1
11484,Aspa
11486,Ada
11487,Adam10
11488,Adam11
11489,Adam12
11490,Adam15
11491,Adam17
11492,Adam19
11495,Adam2
11496,Adam22
11497,Adam3
11498,Adam4
11499,Adam5
11500,Adam7
11501,Adam8
11502,Adam9
11504,Adamts1
11512,Adcy6
11513,Adcy7
11514,Adcy8
11515,Adcy9
11516,Adcyap1
11517,Adcyap1r1
11518,Add1
11519,Add2
11520,Plin2
11522,Adh1
11529,Adh7
11532,Adh5
11533,Adh5-ps1
11534,Adk
11535,Adm
11536,Gpr182
11537,Cfd
11538,Adnp
11539,Adora1
11540,Adora2a
11541,Adora2b
11542,Adora3
11544,Adprh
11545,Parp1
11546,Parp2
11548,Adra1b
11549,Adra1a
11550,Adra1d
11551,Adra2a
11552,Adra2b
11553,Adra2c
11554,Adrb1
11555,Adrb2
11556,Adrb3
11564,Adsl
11565,Adss1
11566,Adss2
11567,Avil
11568,Aebp1
11569,Aebp2
11571,Crisp1
11572,Crisp3
11576,Afp
11592,ag
11593,Aga
11595,Acan
11596,Ager
11600,Angpt1
11601,Angpt2
11602,Angpt4
11603,Agrn
11604,Agrp
11605,Gla
11606,Agt
11607,Agtr1a
11608,Agtr1b
11609,Agtr2
11610,Agtrap
11611,Agxt
11614,Nr0b1
11615,Ahcyl
11622,Ahr
11624,Ahrr
11625,Ahsg
11628,Aicda
11629,Aif1
11630,Crybg1
11632,Aip
11634,Aire
11636,Ak1
11637,Ak2
11639,Ak4
11640,Akap1
11642,Akap3
11643,Akap4
11647,Alpl
11648,Akp3
11650,Alppl2
11651,Akt1
11652,Akt2
11655,Alas1
11656,Alas2
11657,Alb
11658,Alcam
11666,Abcd1
11668,Aldh1a1
11669,Aldh2
11670,Aldh3a1
11671,Aldh3a2
11674,Aldoa
11676,Aldoc
11677,Akr1b1
11682,Alk
11684,Alox12
11685,Alox12e
11686,Alox12b
11687,Alox15
11688,Alox8
11689,Alox5
11690,Alox5ap
11691,alp
11692,Gfer
11694,Alx3
11695,Alx4
11697,am
11698,Ambn
11699,Ambp
11700,amd
11701,Amd-ps1
11702,Amd1
11704,Amelx
11705,Amh
11717,Ampd3
11720,Mat1a
11722,Amy1
11727,Ang
11728,Ang-ps1
11730,Ang3
11731,Ang2
11732,Ank
11733,Ank1
11735,Ank3
11736,Ankfy1
11737,Anp32a
11739,Slc25a4
11740,Slc25a5
11743,anx
11744,Anxa11
11745,Anxa3
11746,Anxa4
11747,Anxa5
11749,Anxa6
11750,Anxa7
11752,Anxa8
11753,ao
11754,Aoc3
11757,Prdx3
11758,Prdx6
11761,Aox1
11763,ap
11764,Ap1b1
11765,Ap1g1
11766,Ap1g2
11767,Ap1m1
11768,Ap1m2
11769,Ap1s1
11770,Fabp4
11771,Ap2a1
11772,Ap2a2
11773,Ap2m1
11774,Ap3b1
