Taxon,Multiple sclerosis,Systemic lupus erythematosus
Acidaminococcus,0.008460236886632826,0
Actinomyces,0.014213197969543147,0
Adlercreutzia,-0.019364161849710983,0
Agathobacter,-0.028323699421965318,-0.1
Akkermansia,0.11900130082255021,-0.1
Anaerofustis,0.014213197969543147,0
Anaerostipes,-0.03554913294797688,0
Atopobium,0.008460236886632826,0
Bacteroides,-0.037204502997760236,0
Bifidobacterium,0.02030456852791878,0
Bilophila,0.02030456852791878,0
Blautia,0.011769509893097815,0
Butyricicoccus,-0.012138728323699421,0
Butyricimonas,-0.10780346820809249,0
Catenibacterium,0.01307913500190722,0
Clostridium,-0.01411050145242217,0
Collinsella,-0.019364161849710983,0
Coprobacillus,-0.019364161849710983,0
Coprococcus,0.001234803360621265,0
Desulfotomaculum,-0.028323699421965318,0
Desulfovibrio,0.02030456852791878,0
Dialister,-0.019364161849710983,-0.1
Dorea,0.023908238216797238,-0.1
Eggerthella,0.047377326565143825,0
Eubacterium,0.008460236886632826,-0.1
Faecalibacterium,-0.03922762438504347,-0.1
Faecalicoccus,0.014213197969543147,0
Flavobacterium,0.022673434856175973,0
Fusicatenibacter,-0.012138728323699421,-0.1
Gemmiger,-0.012138728323699421,0
Haemophilus,-0.010903924963078158,0
Hungatella,0,0.1111111111111111
Klebsiella,0,0.1111111111111111
Kluyvera,0,0.1111111111111111
Lachnoclostridium,0,0.1111111111111111
Lachnospira,-0.05057803468208093,-0.1
Lactobacillus,-0.019364161849710983,0
Leyella,0.008460236886632826,0
Ligilactobacillus,-0.0072254335260115606,0
Mediterraneibacter,0.008460236886632826,0.1111111111111111
Megamonas,-0.019863462535332492,0
Megasphaera,0.008460236886632826,0
Methanobrevibacter,0.10219966159052453,0
Micromonospora,0.06971235194585448,0
Mitsuokella,-0.0072254335260115606,0
Mycoplana,0.022673434856175973,0
Mycoplasma,-0.019364161849710983,0
Odoribacter,0,-0.1
Oscillospira,-0.0016553700497833595,0
Parabacteroides,-0.01812935848908972,0
Paraprevotella,-0.017341040462427744,0
Pedobacter,0.022673434856175973,0
Peptostreptococcus,-0.017341040462427744,0
Phascolarctobacterium,0.02030456852791878,0
Phocaeicola,-0.027088896061344056,0
Prevotella,-4.3132537190810477e-4,0
Pseudomonas,0.022673434856175973,0
Pseudoramibacter,0.008460236886632826,0
Roseburia,-0.028323699421965318,0
Rudaea,0,0.1111111111111111
Ruminococcus,0.001234803360621265,0
Sarcina,-0.03468208092485549,0
Segatella,-0.02536017135647428,0
Sphingomonas,0,0.1111111111111111
Sporobacterium,-0.012138728323699421,0
Streptococcus,0.047377326565143825,0.1111111111111111
Subdoligranulum,-0.012138728323699421,-0.1
Sutterella,-0.04782478996117094,0
Thomasclavelia,0,0.1111111111111111
Turicibacter,0.014213197969543147,0
Veillonella,0.008460236886632826,0
Verrucomicrobium,0.048054145516074454,0
