Symbol,variable,autoimmune_microbiome,microbiome_pct,autoimmune_diet,diet_pct,total
PRJNA855481,BioProject,323,3.67,0,0,323
PRJNA884872,BioProject,151,1.72,151,8.74,302
PRJNA967360,BioProject,145,1.65,145,8.4,290
PRJNA532888,BioProject,284,3.23,0,0,284
PRJEB28515,BioProject,281,3.2,0,0,281
PRJEB22977,BioProject,139,1.58,139,8.05,278
PRJNA1088083,BioProject,276,3.14,0,0,276
PRJEB14869,BioProject,254,2.89,0,0,254
PRJEB32443,BioProject,250,2.84,0,0,250
PRJEB22970,BioProject,110,1.25,110,6.37,220
PRJEB28382,BioProject,0,0,212,12.28,212
PRJEB63180,BioProject,210,2.39,0,0,210
PRJNA321051,BioProject,210,2.39,0,0,210
PRJEB58787,BioProject,204,2.32,0,0,204
PRJEB11414,BioProject,200,2.27,0,0,200
PRJNA564343,BioProject,100,1.14,100,5.79,200
PRJNA1162502,BioProject,193,2.19,0,0,193
PRJEB28543,BioProject,192,2.18,0,0,192
PRJNA841771,BioProject,189,2.15,0,0,189
PRJEB88329,BioProject,167,1.9,0,0,167
PRJEB97797,BioProject,163,1.85,0,0,163
PRJEB24885,BioProject,160,1.82,0,0,160
PRJNA682734,BioProject,158,1.8,0,0,158
PRJNA1059274,BioProject,157,1.79,0,0,157
PRJDB18595,BioProject,151,1.72,0,0,151
PRJEB99111,BioProject,147,1.67,0,0,147
PRJNA766410,BioProject,139,1.58,0,0,139
PRJNA767648,BioProject,138,1.57,0,0,138
PRJNA808105,BioProject,130,1.48,0,0,130
PRJEB21104,BioProject,128,1.46,0,0,128
PRJNA1285275,BioProject,125,1.42,0,0,125
PRJNA556801,BioProject,115,1.31,0,0,115
PRJEB20837,BioProject,113,1.29,0,0,113
PRJNA1287598,BioProject,56,0.64,56,3.24,112
PRJNA1105425,BioProject,110,1.25,0,0,110
PRJEB32067,BioProject,108,1.23,0,0,108
PRJEB12307,BioProject,100,1.14,0,0,100
PRJEB63123,BioProject,49,0.56,49,2.84,98
PRJNA386516,BioProject,0,0,96,5.56,96
PRJDB18654,BioProject,94,1.07,0,0,94
PRJNA557419,BioProject,92,1.05,0,0,92
PRJNA641454,BioProject,91,1.03,0,0,91
PRJEB106071,BioProject,90,1.02,0,0,90
PRJNA185467,BioProject,90,1.02,0,0,90
PRJEB61825,BioProject,85,0.97,0,0,85
PRJNA688384,BioProject,84,0.96,0,0,84
PRJEB94445,BioProject,80,0.91,0,0,80
PRJNA1016427,BioProject,80,0.91,0,0,80
PRJNA609140,BioProject,80,0.91,0,0,80
PRJNA1431678,BioProject,79,0.9,0,0,79
PRJEB103000,BioProject,77,0.88,0,0,77
PRJNA793584,BioProject,0,0,74,4.28,74
PRJNA494384,BioProject,72,0.82,0,0,72
PRJNA543853,BioProject,71,0.81,0,0,71
PRJNA702261,BioProject,0,0,69,4,69
PRJNA676148,BioProject,67,0.76,0,0,67
PRJEB34168,BioProject,65,0.74,0,0,65
PRJNA706065,BioProject,65,0.74,0,0,65
PRJNA749624,BioProject,63,0.72,0,0,63
PRJNA1011244,BioProject,61,0.69,0,0,61
PRJNA763625,BioProject,60,0.68,0,0,60
PRJNA1365339,BioProject,59,0.67,0,0,59
PRJEB65938,BioProject,0,0,58,3.36,58
PRJDB2495,BioProject,28,0.32,28,1.62,56
PRJNA1294576,BioProject,54,0.61,0,0,54
PRJNA1432079,BioProject,51,0.58,0,0,51
PRJEB35028,BioProject,0,0,50,2.9,50
PRJNA1279180,BioProject,0,0,50,2.9,50
PRJNA678005,BioProject,50,0.57,0,0,50
PRJEB37474,BioProject,0,0,46,2.66,46
PRJEB55711,BioProject,44,0.5,0,0,44
PRJNA857562,BioProject,44,0.5,0,0,44
PRJEB85914,BioProject,43,0.49,0,0,43
PRJNA1338242,BioProject,43,0.49,0,0,43
PRJDB39974,BioProject,41,0.47,0,0,41
PRJNA892997,BioProject,41,0.47,0,0,41
PRJNA1365436,BioProject,40,0.45,0,0,40
PRJNA679096,BioProject,0,0,40,2.32,40
PRJNA706579,BioProject,40,0.45,0,0,40
PRJNA842401,BioProject,20,0.23,20,1.16,40
PRJNA896256,BioProject,40,0.45,0,0,40
PRJNA394874,BioProject,0,0,37,2.14,37
PRJEB39044,BioProject,31,0.35,0,0,31
PRJNA1099171,BioProject,0,0,30,1.74,30
PRJNA716635,BioProject,30,0.34,0,0,30
PRJNA746948,BioProject,30,0.34,0,0,30
PRJNA714758,BioProject,28,0.32,0,0,28
PRJEB58696,BioProject,26,0.3,0,0,26
PRJNA1158834,BioProject,0,0,26,1.51,26
PRJEB22348,BioProject,24,0.27,0,0,24
PRJNA824505,BioProject,24,0.27,0,0,24
PRJNA715451,BioProject,23,0.26,0,0,23
PRJNA1357298,BioProject,20,0.23,0,0,20
PRJNA819379,BioProject,20,0.23,0,0,20
PRJNA824504,BioProject,20,0.23,0,0,20
PRJNA524321,BioProject,0,0,19,1.1,19
PRJNA1157898,BioProject,0,0,18,1.04,18
PRJNA805114,BioProject,17,0.19,0,0,17
PRJNA881239,BioProject,17,0.19,0,0,17
PRJNA1093168,BioProject,0,0,16,0.93,16
PRJNA1108506,BioProject,16,0.18,0,0,16
PRJNA1241709,BioProject,16,0.18,0,0,16
PRJNA982793,BioProject,0,0,16,0.93,16
PRJNA296810,BioProject,15,0.17,0,0,15
PRJNA525682,BioProject,15,0.17,0,0,15
PRJNA1048658,BioProject,14,0.16,0,0,14
PRJNA1030016,BioProject,0,0,13,0.75,13
PRJNA1416305,BioProject,12,0.14,0,0,12
PRJNA210238,BioProject,12,0.14,0,0,12
PRJNA824506,BioProject,12,0.14,0,0,12
PRJNA231749,BioProject,11,0.13,0,0,11
PRJNA1188120,BioProject,10,0.11,0,0,10
PRJNA1222148,BioProject,10,0.11,0,0,10
PRJNA746234,BioProject,0,0,10,0.58,10
PRJNA1123664,BioProject,9,0.1,0,0,9
PRJNA1209914,BioProject,0,0,9,0.52,9
PRJNA606741,BioProject,0,0,9,0.52,9
PRJNA1077285,BioProject,0,0,8,0.46,8
PRJNA857565,BioProject,0,0,8,0.46,8
PRJNA925123,BioProject,8,0.09,0,0,8
PRJNA1109868,BioProject,0,0,6,0.35,6
PRJNA1124004,BioProject,0,0,6,0.35,6
PRJNA992475,BioProject,6,0.07,0,0,6
PRJEB73816,BioProject,4,0.05,0,0,4
PRJNA691898,BioProject,4,0.05,0,0,4
PRJEB29771,BioProject,0,0,3,0.17,3
UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT,CenterName,719,8.18,49,2.84,768
UBC,CenterName,468,5.32,145,8.4,613
COPENHAGEN UNIVERSITY,CenterName,249,2.83,249,14.42,498
"YALE UNIVERSITY, NEW HAVEN, UNITED STATES",CenterName,173,1.97,212,12.28,385
OREGON HEALTH & SCIENCE UNIVERSITY,CenterName,151,1.72,151,8.74,302
"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES,",CenterName,284,3.23,0,0,284
LUND UNIVERSITY,CenterName,281,3.2,0,0,281
UNIVERSITY OF CONNECTICUT HEALTH CENTER,CenterName,276,3.14,0,0,276
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,CenterName,264,3,0,0,264
GEO,CenterName,222,2.52,38,2.2,260
LATVIAN BIOMEDICAL RESEARCH AND STUDY CENTRE,CenterName,253,2.88,0,0,253
"RIKEN, INTEGRATIVE MEDICAL SCIENCES",CenterName,245,2.79,0,0,245
BRIGHAM AND WOMEN'S HOSPITAL,CenterName,210,2.39,0,0,210
FISABIO,CenterName,209,2.38,0,0,209
"UNIVERSITY OF COPENHAGEN, SECTION OF MICROBIOLOGY",CenterName,204,2.32,0,0,204
THE WELLCOME TRUST SANGER INSTITUTE,CenterName,201,2.29,0,0,201
UNIVERSITY OF MINNESOTA,CenterName,200,2.27,0,0,200
UNIVERSITY OF TEXAS AT AUSTIN,CenterName,100,1.14,100,5.79,200
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CenterName,193,2.19,0,0,193
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,CenterName,192,2.18,0,0,192
"CENTER FOR LIFE SCIENCES, NATIONAL LABORATORY ASTANA",CenterName,189,2.15,0,0,189
EWHA WOMANS UNIVERSITY,CenterName,167,1.9,0,0,167
LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE,CenterName,163,1.85,0,0,163
"ICDDR,B",CenterName,157,1.79,0,0,157
COLUMBIA UNIVERSITY MEDICAL CENTRE (CUMC),CenterName,138,1.57,0,0,138
DREXEL UNIVERSITY,CenterName,130,1.48,0,0,130
CGR,CenterName,128,1.46,0,0,128
THE FIRST AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,CenterName,115,1.31,0,0,115
UNIVERSITY OF VERMONT,CenterName,56,0.64,56,3.24,112
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,CenterName,110,1.25,0,0,110
UNIVERSITY OF LUBECK,CenterName,100,1.14,0,0,100
UNIVERSITY OF UTAH - SCHOOL OF MEDICINE,CenterName,0,0,96,5.56,96
UNIVERSITY OF  FLORIDA,CenterName,92,1.05,0,0,92
UNIVERSITY OF COLORADO SCHOOL OF MEDICINE,CenterName,90,1.02,0,0,90
UNIVERSITY OF SEVILLE,CenterName,90,1.02,0,0,90
BAYLOR COLLEGE OF MEDICINE,CenterName,87,0.99,0,0,87
"CARDIFF UNIVERSITY, SCHOOL OF BIOSCIENCES",CenterName,85,0.97,0,0,85
KINDAI UNIVERSITY FACULTY OF MEDICINE,CenterName,84,0.96,0,0,84
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,CenterName,80,0.91,0,0,80
NORWEGIAN PSC RESEARCH CENTER,CenterName,80,0.91,0,0,80
UNIVERSITY OF CALIFORNIA AT RIVERSIDE,CenterName,80,0.91,0,0,80
YONSEI UNIVERSITY COLLEGE OF MEDICINE,CenterName,79,0.9,0,0,79
UNIVERSITY OF KIEL,CenterName,77,0.88,0,0,77
BAMBINO GESU' CHILDREN'S HOSPITAL-IRCCS,CenterName,0,0,74,4.28,74
UNIVERSITY MEDICAL CENTER HAMBURG-EPPENDORF,CenterName,72,0.82,0,0,72
SHENZHEN PUENSUM GENETECH INSTITUTE,CenterName,70,0.8,0,0,70
"BAMBINO GESU CHILDREN S HOSPITAL, IRCCS, ROME, ITALY",CenterName,0,0,69,4,69
UNIVERSITY OF CONNECTICUT  HEALTH CENTER,CenterName,67,0.76,0,0,67
VANDERBILT UNIVERSITY MEDICAL CENTER,CenterName,65,0.74,0,0,65
NAGOYA UNIVERSITY GRADUATE SCHOOL OF MEDICINE,CenterName,61,0.69,0,0,61
SOONCHUNHYANG UNIVERSITY,CenterName,59,0.67,0,0,59
LOUVAIN DRUG RESEARCH INSTITUTE,CenterName,0,0,58,3.36,58
NCCS,CenterName,28,0.32,28,1.62,56
UNIVERSITY OF VIRGINIA,CenterName,56,0.64,0,0,56
WEST CHINA SCHOOL OF STOMATOLOGY,CenterName,54,0.61,0,0,54
WELLCOME SANGER INSTITUTE,CenterName,53,0.6,0,0,53
"CBDM, MICROBIOLOGY AND IMMUNOBIOLOGY, HARVARD MEDICAL SCHOOL",CenterName,0,0,50,2.9,50
"FIRST AFFILIATED HOSPITAL, SCHOOL OF MEDICINE, ZHEJIANG UNIVERSITY",CenterName,50,0.57,0,0,50
UNIVERSITY OF SASSARI,CenterName,0,0,50,2.9,50
SICKKIDS RESEARCH INSTITUTE,CenterName,0,0,46,2.66,46
FREE UNIVERSITY OF BOLZANO,CenterName,44,0.5,0,0,44
NISC,CenterName,44,0.5,0,0,44
XUZHOU FIRST PEOPLE'S HOSPITAL,CenterName,43,0.49,0,0,43
KANSAI MEDICAL UNIVERSITY,CenterName,41,0.47,0,0,41
UNIVERSIDAD SAN SEBASTIAN,CenterName,41,0.47,0,0,41
REPRODUCTIVE MEDICINE CENTRE,CenterName,40,0.45,0,0,40
UNIVERSITY OF BRITISH COLUMBIA,CenterName,40,0.45,0,0,40
"UNIVERSITY OF CALIFORNIA, DAVIS",CenterName,0,0,40,2.32,40
UNIVERSITY OF IOWA,CenterName,20,0.23,20,1.16,40
MCMASTER UNIVERSITY,CenterName,0,0,37,2.14,37
DAIYONG,CenterName,31,0.35,0,0,31
GYEONGSANG NATIONAL UNIVERSITY HOSPITAL,CenterName,30,0.34,0,0,30
"SPIELMANN, HUMAN GENETICS, UKSH",CenterName,0,0,30,1.74,30
UNIVERSITY OF ALABAMA AT BIRMINGHAM,CenterName,30,0.34,0,0,30
"SCHOOL OF MEDICINE, RENJI HOSPITAL, SHANGHAI JIAOTONG UNIVERSITY, SHANGHAI, P.R. CHINA.",CenterName,28,0.32,0,0,28
"RHEUMATOLOGY, MEDICINE, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",CenterName,0,0,26,1.51,26
EUROPEAN MOLECULAR BIOLOGY LABORATORY,CenterName,24,0.27,0,0,24
INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,CenterName,23,0.26,0,0,23
"PARTNER INSTITUTE FOR COMPUTATIONAL BIOLOGY,CAS",CenterName,23,0.26,0,0,23
INSTITUTE OF TRANSLATIONAL MEDICINE,CenterName,20,0.23,0,0,20
ZHEJIANG UNIVERSITY,CenterName,20,0.23,0,0,20
